what are bigos?	["Stew"]	["Polish food"]
what are the catholic holy days?	["Name day", "Saint Patrick's Day", "Maundy Thursday", "Palm Sunday", "Saint George's Day", "Saint Joseph's Day", "Christmas"]	["Day"]
what team did brandon roy go to?	["Minnesota Timberwolves"]	["University of Washington", "Garfield High School"]
who is nicolas cage married too?	["Nicolas Cage; Katherine Heigl"]	["Alice Kim", "Patricia Arquette", "Lisa Marie Presley"]
where was the assyrian homeland?	["Middle East"]	["Assyrian homeland"]
when did we start war with iraq?	["2001"]	["Iran", "Saudi Arabia", "Turkey", "Syria", "Kuwait", "Jordan"]
who does jordan palmer play for?	["Jacksonville Jaguars"]	["Sacramento Mountain Lions", "UTEP Miners football", "Cincinnati Bengals", "Washington Redskins", "Jacksonville Jaguars", "Arizona Rattlers"]
what state is barack obama from?	["Hawaii"]	["Illinois"]
what are malaysian coins called?	["Malaysian ringgit"]	["Palestine Mandate Coins", "Palestine Mandate Coins - Virtual Exhibition"]
who does david beckham play for?	["Paris Saint-Germain F.C."]	["Paris Saint-Germain F.C.", "LA Galaxy"]
who founded new york university?	["Albert Gallatin", "Mordecai Manuel Noah"]	["Albert Gallatin", "Mordecai Manuel Noah"]
where was farrah fawcett buried?	["Westwood Village Memorial Park Cemetery"]	["Westwood Village Memorial Park Cemetery"]
who played obi wan in episode 2?	["Ewan McGregor"]	["Alec Guinness", "James Arnold Taylor", "Ewan McGregor"]
what shows are shot in new york?	["Flight of the Conchords", "The Stand"]	["United Nations Headquarters", "Statue of Liberty", "Brooklyn Botanic Garden", "American Museum of Natural History", "Museum of Modern Art", "Rockefeller Center", "Chelsea Art Museum", "Solomon R. Guggenheim Museum", "George Gustav Heye Center", "Metropolitan Museum of Art", "Central Park", "St. Patrick's Cathedral", "The Cloisters", "National Academy of Design", "Empire State Building", "Wave Hill", "American Folk Art Museum", "Darien Lake", "Morgan Library", "Museum of Modern Art", "Brooklyn Bridge", "Andrew Carnegie Mansion", "The Broadway Theatre", "Henry Clay Frick House", "Madison Square Garden", "Japan Society of New York", "Felix M. Warburg House", "Grand Central Terminal", "International Center of Photography", "Statue of Liberty National Monument, Ellis Island and Liberty Island", "Staten Island Ferry", "Theodore Roosevelt Birthplace National Historic Site", "FusionArts Museum", "Museum of Arts and Design", "Louis Armstrong House", "Museum of Mathematics", "Franklin D. Roosevelt Presidential Library and Museum", "A.I.R. Gallery", "Freedomland U.S.A."]
when does jewish new year start?	["Yiddish Language"]	["Amitabh Bachchan"]
what language do russians speak?	["Russian Language"]	["Russian Language"]
when did arsenal won the league?	["2004\u201305 FA Cup", "FA Cup 2002\u201303", "2002 FA Cup Final", "FA Cup 1978\u201379", "2005 FA Cup Final", "2003 FA Cup Final", "FA Cup 1997\u201398", "FA Cup 1992\u201393", "FA Cup 1970\u201371", "2001\u201302 FA Cup"]	["2002\u201303 FA Cup", "1978\u201379 FA Cup", "2005 FA Cup Final", "1997\u201398 FA Cup", "2004\u201305 FA Cup", "2001\u201302 FA Cup", "1970\u201371 FA Cup", "2002 FA Cup Final", "1992\u201393 FA Cup", "2003 FA Cup Final"]
what did lincoln steffens wrote?	["The shame of the cities"]	["New York Post", "McClure's"]
what was scottie pippen good at?	["Basketball"]	["Small forward"]
what is eminem's real full name?	["Marshall Bruce Mathers, Jr."]	["Alaina Mathers", "Hailie Jade Scott", "Whitney Mathers"]
what has charlie hunnam been in?	["Deadfall", "Nicholas Nickleby", "Pacific Rim", "Green Street", "Frankie Go Boom", "The Ledge", "Children of Men", "Abandon", "Cold Mountain", "Whatever Happened to Harold Smith?"]	["Green Street", "Pacific Rim", "Nicholas Nickleby", "Deadfall", "Children of Men", "The Ledge", "Abandon", "Cold Mountain", "Frankie Go Boom", "Whatever Happened to Harold Smith?"]
what is cindy sherman known for?	["Photographer"]	["Photographer", "Film Director", "Artist"]
what happened to jill valentine?	["BSAA"]	["Resident Evil"]
what is william taft famous for?	["President of the United States"]	["Lawyer", "Judge", "Jurist"]
what discovery did galileo make?	["Ganymede", "Callisto", "Europa", "Galilean moons", "Io"]	["Dialogue Concerning the Two Chief World Systems, Ptolemaic and Copernican, Second Revised edition", "Two New Sciences", "Sidereus nuncius", "Two New Sciences", "Sidereus Nuncius", "Sidereus nuncius", "Dialogue Concerning the Two Chief World Systems - Potolemaic & Copernican", "Dialogue Concerning the Two Chief World Systems-Ptolemaic and Copernican", "Dialogue concerning the two chief world systems, Ptolemaic and Copernican"]
what currency is used in panama?	["United States dollar", "Panamanian balboa"]	["United States dollar", "Panamanian balboa"]
who did scarlett johansson date?	["Justin Timberlake", "Josh Hartnett", "Benicio del Toro", "Jared Leto", "Derek Jeter"]	["Josh Hartnett", "Derek Jeter", "Benicio del Toro", "Justin Timberlake", "Jared Leto"]
where are you from in malayalam?	["India"]	["India"]
what school did karl benz go to?	["Karlsruhe Institute of Technology", "University of Karlsruhe"]	["Karlsruhe Institute of Technology", "University of Karlsruhe"]
where did eleanor roosevelt die?	["New York City"]	["Manhattan"]
what did steve mcnair died from?	["Ballistic trauma"]	["Ballistic trauma"]
who is my state senator arizona?	["John McCain"]	[]
what jobs did robert burns have?	["Poet", "Writer", "Bard", "Author"]	["Poet", "Writer", "Author", "Bard"]
what places make up new england?	["Maine"]	["United States of America", "Eastern United States", "Northeast United States"]
what state is the steelers from?	["Pittsburgh"]	["Pittsburgh"]
what do people speak in germany?	["Bavarian Language", "German Language", "Saxon, Upper Language"]	["German Language"]
where does the celtics practice?	["TD Bank Garden"]	["TD Bank Garden", "XL Center"]
where did theodor schwann study?	["Humboldt University of Berlin"]	["Humboldt University of Berlin", "University of Bonn", "University of W\u00fcrzburg"]
who are serena williams parents?	["Richard Williams", "Oracene Price"]	["Oracene Price", "Richard Williams"]
what to do in rome october 2012?	["Sistine Chapel", "Piazza Navona", "Roman Forum", "Baths of Caracalla", "Castel Sant'Angelo", "Bocca della Verit\u00e0", "Pantheon", "St. Peter's Basilica", "Raphael Rooms", "Colosseum"]	["Catacombs of Rome", "Raphael Rooms", "San Nicola in Carcere", "Quirinal Palace", "Fontana delle Naiadi", "Capitoline Hill", "Palazzo Chigi", "St. Peter's Basilica", "Villa d'Este", "Churches of Rome", "Spanish Steps", "Trevi Fountain", "Hadrian's Villa", "Galleria Borghese", "Palazzo Spada", "Castel Sant'Angelo", "Basilica di Santa Maria Maggiore", "Palazzo Farnese", "Domus Aurea", "Piazza del Popolo", "Colosseum", "Pantheon", "Archbasilica of St. John Lateran", "Santa Maria sopra Minerva", "Circus Maximus", "Apostolic Palace", "Appian Way", "Bocca della Verit\u00e0", "Roman Forum", "Tabularium", "Pyramid of Cestius", "Seven Pilgrim Churches of Rome", "Baths of Caracalla", "Rome Observatory", "Palazzo Barberini", "Via Veneto", "Piazza Navona", "Palazzo Venezia", "Piazza Venezia"]
what money do they use in spain?	["Euro"]	["Euro"]
what is sir isaac newton theory?	["Newton's laws of motion"]	["Mathematics", "Algebra"]
where did emperor hirohito live?	["Japan"]	["\u014cmiya Palace"]
where did hank marvin come from?	["Newcastle upon Tyne"]	["England"]
when did shaq come into the nba?	["1992 NBA Draft"]	["2003\u201304 NBA season", "2001\u201302 NBA season", "2000\u201301 NBA season", "1999\u20132000 NBA season", "1992\u201393 NBA season"]
when did romney become governor?	["1/2/2003"]	["2003-01-02"]
where does chef ina garten live?	["Brooklyn"]	["George Washington University", "Syracuse University"]
what do portuguese people speak?	["Portuguese"]	["Portuguese Language"]
where did kate gosselin grew up?	["Philadelphia"]	["Philadelphia"]
where to stay in singapore blog?	["Central Region, Singapore"]	["Operation Jaywick", "Operation Rimau"]
what are italians classified as?	["Latin European peoples", "Europeans"]	["Italian Language", "Latin Language", "Friulian Language", "Sicilian Language", "Sardinian language", "Corsican Language", "Napoletano-Calabrese Language"]
what kind of government is mali?	["Semi-presidential system", "Republic", "Unitary state"]	["Republic", "Unitary state", "Semi-presidential system"]
where does delaware river start?	["West Branch Delaware River", "Mount Jefferson"]	["Mount Jefferson", "West Branch Delaware River"]
what is the kentucky state bird?	["Cardinal"]	["Goldenrod", "Liriodendron tulipifera", "Milk", "Spotted bass", "Cardinal", "Brachiopod", "Viceroy", "Liriodendron", "United we stand, divided we fall"]
what is capital city of morocco?	["Rabat"]	["Rabat"]
what movies queen latifah is in?	["Taxi", "Jungle Fever", "Set It Off", "Stranger than Fiction", "Last Holiday", "Brown Sugar", "Ice Age: The Meltdown", "Ice Age: Dawn of the Dinosaurs", "Hairspray", "Bringing Down the House"]	["Chicago", "The Cookout", "Stranger than Fiction", "Hairspray", "Bringing Down the House", "Bringing Out the Dead", "The Muppets' Wizard of Oz", "Jungle Fever", "Last Holiday", "The Secret Life of Bees", "Barbershop 2: Back in Business", "The Dilemma", "Ice Age: The Meltdown", "Ice Age: Continental Drift", "The Making of What's Going On: An All-Star Tribute", "Valentine's Day", "Just Wright", "Ice Age: Dawn of the Dinosaurs", "Taxi", "Sphere", "Hoodlum", "The Bone Collector", "Mad Money", "The Perfect Holiday", "What Happens in Vegas", "Brown Sugar", "Joyful Noise", "Ice Age: A Mammoth Christmas", "Scary Movie 3", "Living Out Loud", "Beauty Shop", "The Country Bears", "Living with the Dead", "Kung Faux: Vol. 5", "One Love: The Bob Marley All-Star Tribute", "Life in the 310: Vol. 3", "The Official Inaugural Celebration", "House Party 2", "Kung Faux: Vol. 3", "Kung Faux: Vol. 2", "Life Support", "Steel Magnolias", "Kung Faux: Vol. 4", "My Life", "Breaking Out: The Alcatraz Concert", "Through the Years of Hip-Hop: Vol. 1: Graffiti", "Kung Faux: Vol. 1", "Set It Off", "Juice", "We Are Family", "Zac Efron's Pool Party", "Arctic Tale", "Hairspray 2: White Lipstick", "Queen Latifah: Unauthorized"]
what are staffordshire terriers?	["Dog"]	["Brindle", "Black", "Black & White", "Red", "Fawn", "Blue"]
who is the leader of libya 2011?	["Muammar al-Gaddafi"]	["Muammar al-Gaddafi", "Abdul Hafiz Ghoga", "Mustafa Abdul Jalil", "Baghdadi Mahmudi", "Mohammed Ali Salim", "Abdessalam Jalloud", "Abdurrahim El-Keib", "Mustafa A.G. Abushagur", "Mohammed Magariaf", "Mahmud Sulayman al-Maghribi", "Ali Zeidan", "Mahmoud Jibril", "Ali Tarhouni", "Mohamed Abdelaziz"]
who did kimberly williams marry?	["Brad Paisley"]	["Brad Paisley"]
what do they do in cuba for fun?	["\u00a1Cuba! Art and History from 1868 to Today"]	["Cayo Coco", "Old Havana"]
what did gloria steinem founded?	["Coalition of Labor Union Women", "National Women's Political Caucus", "New York Media Holdings, LLC", "Women's Action Alliance", "Choice USA", "Feminist Majority Foundation", "Ms. Foundation for Women"]	["Ruth Nuneviller", "Leo Steinem"]
who does myles kennedy sing for?	["Alter Bridge"]	["No More Heroes", "Hard & Fast", "We Will Roam", "One Last Thrill", "Standing in the Sun", "You're a Lie", "Anastasia", "Not For Me", "Bad Rain", "Far and Away", "Shots Fired", "Halo", "Apocalyptic Love"]
who fought in the gulf war 1991?	["Saudi Arabia", "Australia", "United States of America", "France", "United Kingdom", "Argentina", "Iraq"]	["Colin Powell", "Hosni Mubarak", "Mirza Aslam Beg", "Saddam Hussein", "Sultan bin Abdulaziz", "Khalid bin Sultan", "Peshmerga", "George H. W. Bush", "Chuck Horner", "Norman Schwarzkopf, Jr.", "Jaber Al-Ahmad Al-Jaber Al-Sabah", "Dick Cheney", "Hafez al-Assad", "Abdullah of Saudi Arabia", "Peter de la Billi\u00e8re", "John A. Warden III", "Mustafa Tlass", "Coalition of the Gulf War", "John Major", "Fahd of Saudi Arabia", "Turki bin Faisal Al Saud", "Salah Aboud Mahmoud", "Saleh Al-Muhaya", "Mohamed Hussein Tantawi", "Calvin Waller", "Frederick M. Franks, Jr.", "John Chapple", "Patrick Hine", "Ali Hassan al-Majid", "Andrew Wilson", "Michel Roquejeoffre"]
what is the state motto of ohio?	["With God, all things are possible"]	["With God, all things are possible"]
what is claire danes famous for?	["Actor"]	["Actor", "Voice Actor"]
what year was allen iverson mvp?	["2000\u201301 NBA season"]	["2004\u201305 NBA season", "2000\u201301 NBA season", "1996\u201397 NBA season"]
what band was george clinton in?	["The Parliaments", "P-Funk All Stars", "Funkadelic", "George Clinton & Bootsy Collins", "George Clinton", "Parliament-Funkadelic"]	["George Clinton & Bootsy Collins", "The Parliaments", "Funkadelic", "Dolby's Cube", "P-Funk All Stars", "Parliament-Funkadelic"]
who owns volkswagen car company?	["Volkswagen Group"]	["Volkswagen Group"]
what drug killed marilyn monroe?	["Barbiturate"]	["Suicide", "Drug overdose", "Barbiturate"]
what to do in richardson dallas?	["Wizard's Sports Cafe"]	[]
who is on the board of facebook?	["Mark Zuckerberg"]	["Facebook, Inc.", "Mark Zuckerberg"]
what does jamaican people speak?	["Jamaican Creole English Language", "Jamaican English"]	["English Language"]
what do people in jamaica speak?	["Jamaican Creole English Language", "Jamaican English"]	["Jamaican English", "Jamaican Creole English Language"]
what made the soviet union fall?	["Cold War"]	["Baltic Operation", "1991 Soviet coup d'\u00e9tat attempt", "Case Blue", "Sputnik program", "Tatsinskaya Raid", "Battle of Rostov (1941)", "Fourth Aliyah", "Yelnya Offensive", "Operation Kutuzov", "Defense of Brest Fortress", "Great Patriotic War", "Cold War", "Eastern Front", "Operation Bagration", "Taganrog during World War II", "Battle of the Korsun\u2013Cherkassy Pocket", "Death and state funeral of Leonid Brezhnev", "Romanian Armies in the Battle of Stalingrad", "Battle for Voronezh", "Narva Offensive", "Sino-Soviet split", "Project Dark Gene", "Space Race", "Lower Dnieper Offensive", "Battle of Brody", "Operation Barbarossa", "Operation Wotan", "Sino-Soviet border conflict", "Defense of the Adzhimushkay quarry", "Orsha offensives", "1940\u201344 insurgency in Chechnya", "Battle of Smolensk", "Sputnik 1 Mission", "1977 Moscow bombings", "Dissolution of the Soviet Union", "Battle of Kiev", "Kamenets-Podolsky Pocket", "Kingisepp\u2013Gdov Offensive", "Battle of Voronezh", "Crimean Offensive", "Axis and Soviet air operations during Operation Barbarossa", "Eastern European Anti-Communist Insurgencies", "Krasnoye Selo\u2013Ropsha Offensive"]
what makes elvis presley famous?	["Singer"]	["Actor", "Musician", "Singer", "Soldier"]
what airport is nearest to rome?	["Ciampino \u2013 G.B. Pastine International Airport"]	["Leonardo da Vinci\u2013Fiumicino Airport", "Ciampino\u2013G. B. Pastine International Airport", "Italian Met Office Airport", "Urbe Airport", "Rome Viterbo Airport"]
who was queen isabella's mother?	["Maria of Aragon, Queen of Portugal"]	["Isabella of Portugal, Queen of Castile", "John II of Castile"]
what language do brazilians use?	["Pomeranian language", "German Language", "Portuguese Language", "Plautdietsch Language", "Hunsr\u00fcckisch"]	["Portuguese Language"]
where did antoine lavoisier die?	["Place de la Concorde"]	["Place de la Concorde"]
what is the clemson mascot name?	["The Tiger and the Cub", "The Clemson Tiger"]	["The Clemson Tiger", "The Tiger and the Cub"]
who is the king of cambodia now?	["Norodom Sihamoni"]	["Hun Sen", "Norodom Sihamoni"]
what did martha graham train as?	["Screenwriter", "Choreographer"]	["Screenwriter", "Choreographer"]
what was the japanese war called?	["World War II"]	["The 'Japanese' war"]
where did kobe earthquake happen?	["Great Hanshin earthquake"]	["2008 FIVB World Grand Prix", "FIVB World Grand Prix 1997", "1998 FIVB Men's Volleyball World Championship", "Battle of Minatogawa", "Miss International 1981"]
who plays king julian madagascar?	["Sacha Baron Cohen"]	[]
what is ryan seacrest radio show?	["On Air with Ryan Seacrest", "American Top 40"]	["Reality Check", "On Air with Ryan Seacrest", "American Bandstand", "Click", "American Juniors", "Gladiators 2000", "American Idol Rewind"]
what language is spoken in greek?	["Greek Language"]	["Language and the Internet", "The Nature of This Paradigm Dancing", "Language in Danger", "Egyptian Grammar: Being an Introduction to the Study of Hieroglyphs", "The British Edda", "Mandaean Book of John"]
what year did the phillies begin?	["1883"]	["2009 National League Championship Series", "1980 World Series", "2008 World Series", "2008 National League Championship Series"]
what made richard hammond famous?	["Top Gear"]	["Presenter", "Writer", "Journalist", "Author", "Voice Actor", "Radio personality"]
what was nikola tesla inventions?	["Tesla coil"]	["Inventor", "Physicist", "Scientist", "Electrical engineer", "Mechanical Engineer", "Futurist"]
what currency does singapore use?	["Singapore dollar"]	["Singapore dollar"]
what is penn state's main campus?	["University Park"]	["Penn State Beaver", "Penn State Fayette", "Penn State Shenango", "Penn State Great Valley School of Graduate Professional Studies", "Penn State University, Dickinson School of Law", "Schreyer Honors College", "Penn State Hershey Medical Center", "Penn State College of Information Sciences and Technology", "Penn State Hazleton", "Smeal College of Business", "Penn State University College of Agricultural Sciences", "Penn State Harrisburg", "Penn State Lehigh Valley", "Penn State Abington", "Penn State College of Communications", "Penn State College of Earth and Mineral Sciences"]
who was philip in acts chapter 8?	["Apostle Philip"]	["Sergio Osme\u00f1a", "Jos\u00e9 P. Laurel", "Francis Burton Harrison", "William Howard Taft", "Gloria Macapagal-Arroyo", "Paul V. McNutt", "Manuel Quezon", "Henry Clay Ide", "Fidel V. Ramos", "Benigno \"Noynoy\" Aquino III", "Ramon Magsaysay", "Diosdado Macapagal", "Carlos P. Garcia", "Leonard Wood", "Elpidio Quirino", "William Cameron Forbes", "Theodore Roosevelt, Jr.", "Luke Edward Wright", "Dwight F. Davis", "Frank Murphy", "Francis Bowes Sayers", "Ferdinand Marcos", "Manuel Roxas", "Joseph Estrada", "Emilio Aguinaldo", "Corazon Aquino", "Henry L. Stimson", "James Francis Smith"]
who is the president of peru now?	["Ollanta Humala"]	["Sim\u00f3n Bol\u00edvar"]
what time zone is in the bahamas?	["UTC-5", "North American Eastern Time Zone"]	["UTC-5"]
what all did ben franklin invent?	["Lightning rod", "Franklin stove", "Bifocals", "Glass harmonica"]	["Glass harmonica", "Franklin stove", "Lightning rod", "Bifocals"]
what other states border florida?	["Alabama", "Georgia"]	["Georgia", "Alabama"]
who plays roxanne in ghost rider?	["Daryl Hannah"]	["Roy Thomas", "Gary Friedrich", "Mike Ploog"]
where to stay in chicago tourist?	["Hotel Sax Chicago"]	["Hotel Sax Chicago"]
what produce does florida export?	["Orange juice"]	["Georgia", "Alabama"]
what kind of government is egypt?	["Semi-presidential system", "Constitutional republic", "Republic", "Unitary state"]	["Provisional government"]
what does lauren conrad major in?	["Fashion design"]	["Fashion Designer", "Actor", "Author", "TV Personality"]
who were king henry vii children?	["Arthur, Prince of Wales", "Margaret Tudor", "Mary Tudor, Queen of France", "Henry VIII of England", "Edward Tudor", "Katherine Tudor", "Edmund Tudor, Duke of Somerset", "Elizabeth Tudor"]	["Arthur, Prince of Wales", "Edward Tudor", "Henry VIII of England", "Katherine Tudor", "Elizabeth Tudor", "Edmund Tudor, Duke of Somerset", "Mary Tudor, Queen of France", "Margaret Tudor"]
what are the supreme court cases?	["Hayburn's Case", "Hylton v. United States", "Brown v. Board of Education", "Hollingsworth v. Virginia", "California v. Greenwood", "Hague v. Committee for Industrial Organization", "Kohl v United States", "Ray v. Blair", "Loving v. Virginia", "Roe v. Wade"]	["Supreme Courtship", "Closed Chambers: The Rise, Fall, and Future of the Modern Supreme Court"]
which dawkins book to read first?	["The Selfish Gene"]	["Charles Darwin", "Douglas Adams", "Christopher Hitchens", "Daniel Dennett", "Nikolaas Tinbergen", "W. D. Hamilton", "Barend Jan de Jong", "George C. Williams"]
when did truman become president?	["4/12/1945"]	["Alben W. Barkley"]
what county is st. louis park in?	["Hennepin County"]	["Hennepin County"]
what to see in montreal downtown?	["Casino de Montr\u00e9al", "Parc Jean-Drapeau", "La Ronde", "Canadian Centre for Architecture", "Montreal Botanical Garden", "Maisonneuve Park", "La Fontaine Park", "Mount Royal", "Old City", "Mus\u00e9e d'art contemporain de Montr\u00e9al"]	["La Ronde", "Mus\u00e9e d'art contemporain de Montr\u00e9al", "Montreal Museum of Fine Arts", "Mount Royal", "Bell Centre", "Parc Jean-Drapeau", "Canadian Centre for Architecture", "Casino de Montr\u00e9al", "Montreal Science Centre", "La Fontaine Park", "Montreal Botanical Garden", "Old City", "Maisonneuve Park"]
what is jacksonville fl timezone?	["North American Eastern Time Zone"]	["Jacksonville Zoo and Gardens", "Cummer Museum of Art and Gardens", "Alexander Brest Museum and Gallery", "Kingsley Plantation", "Jacksonville Fire Museum", "Hanna Park", "Jacksonville Riverwalk", "Friendship Fountain", "Museum of Science and History"]
what did pamela courson die from?	["Heroin overdose", "Drug overdose"]	["Drug overdose", "Heroin overdose"]
who was queen victoria's husband?	["Albert, Prince Consort"]	["Albert, Prince Consort"]
what team is reggie bush on 2011?	["New Orleans Saints"]	["Miami Dolphins"]
what currency does france accept?	["CFP franc", "Euro"]	["Euro", "CFP franc"]
what was lebron james first team?	["Cleveland Cavaliers"]	["Cleveland Cavaliers"]
what country is nicki minaj from?	["Trinidad and Tobago"]	["United States of America", "Trinidad and Tobago"]
what is the zip code for concord?	["94529", "94518", "94519", "94522", "94521", "94520", "94527", "94524"]	["03301", "03303", "03302", "03305"]
what region is turkey considered?	["Southeastern Anatolia Region", "Central Anatolia Region", "Mediterranean Region, Turkey", "Black Sea Region", "Eastern Anatolia Region", "Marmara Region", "Aegean Region"]	["Southeastern Anatolia Region", "Marmara Region", "Ankara Province", "Black Sea Region", "Mediterranean Region, Turkey", "Aegean Region", "Central Anatolia Region", "Eastern Anatolia Region"]
what did elvis presley died from?	["Myocardial infarction"]	["Myocardial infarction"]
what do they call money in japan?	["Japanese yen"]	["Japanese yen"]
what is real name of santa claus?	["Saint Nicholas"]	["Defense Minister of Israel", "Prime Minister of Israel", "Member of the Knesset", "President of Israel"]
what language does australia use?	["English Language"]	["English Language", "Esperanto Language", "Lojban"]
what language does iceland speak?	["Icelandic Language"]	["Icelandic Language"]
what two continents is turkey on?	["Europe", "Eurasia", "Asia"]	["Eurasia"]
where did crabtree go to college?	["Texas Tech University"]	["Oregon", "Linn County"]
where is mount st helens volcano?	["Skamania County"]	["North America", "Washington", "United States of America", "Skamania County", "Cascade Range"]
who was king after leonidas died?	["Pleistarchus"]	["Thermopylae"]
where laura ingalls wilder lived?	["South Dakota", "Wisconsin"]	["Wisconsin", "South Dakota"]
what city does paul ryan live in?	["Janesville"]	["Janesville"]
what was robert burns famous for?	["Poet"]	["Poet", "Writer", "Author", "Bard"]
what does kim kardashian work as?	["Entrepreneur", "Model", "Businessperson", "Actor"]	["ShoeDazzle", "D-A-S-H"]
what is the zip code for trenton?	["08610", "08611", "08618", "08608", "08603", "08602", "08601", "08607", "08605", "08604"]	["08625", "08611", "08628", "08638", "08610", "08619", "08620", "08609", "08629", "08641", "08690", "08695", "08666", "08650", "08647", "08646", "08645", "08607", "08606", "08605", "08604", "08603", "08602", "08691", "08618", "08608", "08601"]
where was mary todd lincoln from?	["Lexington", "Springfield"]	["Lexington"]
who won the battle of gettysburg?	["United States of America"]	["Adams County"]
what broncos are in the pro bowl?	["Peyton Manning"]	["2003 Pro Bowl", "2002 Pro Bowl", "2001 Pro Bowl", "2000 Pro Bowl", "1999 Pro Bowl", "1998 Pro Bowl", "1997 Pro Bowl", "1996 Pro Bowl", "1995 Pro Bowl", "1994 Pro Bowl", "1993 Pro Bowl", "1992 Pro Bowl", "1991 Pro Bowl", "1990 Pro Bowl", "2007 Pro Bowl", "1986 Pro Bowl", "1989 Pro Bowl", "1988 Pro Bowl", "1987 Pro Bowl", "1985 Pro Bowl", "1984 Pro Bowl", "1983 Pro Bowl", "1982 Pro Bowl", "1981 Pro Bowl", "1980 Pro Bowl", "1979 Pro Bowl", "1978 Pro Bowl", "1977 Pro Bowl", "1976 Pro Bowl", "1975 Pro Bowl", "1974 Pro Bowl", "1973 Pro Bowl", "1972 Pro Bowl", "1971 Pro Bowl", "2008 Pro Bowl", "2009 Pro Bowl", "2010 Pro Bowl", "1970 Pro Bowl", "1965 Pro Bowl", "1968 Pro Bowl", "1961 Pro Bowl", "1967 Pro Bowl", "1964 Pro Bowl", "1969 Pro Bowl", "1966 Pro Bowl", "1963 Pro Bowl", "1969 Pro Bowl", "1962 Pro Bowl", "1960 Pro Bowl", "2005 Pro Bowl", "2011 Pro Bowl", "2006 Pro Bowl", "2004 Pro Bowl", "2012 Pro Bowl", "2013 Pro Bowl"]
where is the latin language from?	["Italic languages", "Indo-European languages"]	["Vatican City"]
what do australians call bigfoot?	["Waleed Aly"]	["Italian Language", "English Language", "Chinese language", "Greek Language"]
where is the thames river source?	["Thames Head"]	["Thames Estuary"]
who was the son of king leonidas?	["Pleistarchus"]	["Pleistarchus"]
where did benjamin franklin work?	["James Franklin Printing Shop", "United States Postal Service", "Josiah Franklin"]	["University of Pennsylvania", "The Academy and College of Philadelphia", "American Philosophical Society", "United States Postal Service", "Library Company of Philadelphia", "Associators"]
what college did john nash go to?	["Carnegie Mellon University", "Carnegie Institute of Technology", "Bluefield High School", "Princeton University", "Massachusetts Institute of Technology"]	["Carnegie Institute of Technology", "Princeton University", "Bluefield High School"]
what was jesse james killed with?	["Assassination", "Firearm"]	["Saint Joseph"]
who is dustin johnson the golfer?	["Golfer"]	["Amanda Caulder"]
what led to stalin rise in power?	["In 1912, Lenin, who was forced to flee the country, chose him to serve on the first Central Committee of the Bolshevik party, which had now broken from the Social Democrats."]	["Stroke"]
what is my timezone in louisiana?	["Central Time Zone", "UTC\u221206:00"]	["Central Time Zone", "UTC\u221206:00"]
who is amy grant's first husband?	["Vince Gill"]	["Vince Gill", "Gary Chapman"]
what places in japan were bombed?	["Hiroshima Prefecture"]	["Tokyo"]
what year was first world series?	["1903 World Series"]	["1903 Major League Baseball Season"]
who was richard nixon married to?	["Pat Nixon"]	["Pat Nixon"]
where did the gettysburg address?	["Gettysburg"]	["Notes on the 150th Anniversary of the Emancipation Proclamation", "Lincoln at Gettysburg: The Words That Remade America"]
who did the voice for lola bunny?	["Britt McKillip", "Kath Soucie"]	["Britt McKillip", "Kristen Wiig"]
where does the parana river flow?	["Paraguay", "Brazil", "Argentina", "Mesopotamia, Argentina"]	["Brazil", "Argentina", "Paraguay", "Mesopotamia, Argentina"]
what religion does canada follow?	["Protestantism", "Catholicism", "Islam"]	["Catholicism", "Islam", "Protestantism"]
what countries constitute the eu?	["Czech Republic", "Estonia", "Denmark", "Finland", "France", "Austria", "Germany", "Belgium", "Cyprus", "Bulgaria"]	["Belgium", "Bulgaria", "Croatia", "Finland", "Germany", "Hungary", "Italy", "Luxembourg", "Netherlands", "Poland", "Romania", "Spain", "Slovakia", "United Kingdom", "Sweden", "France", "Austria", "Denmark", "Estonia", "Lithuania", "Slovenia", "Czech Republic", "Greece", "Ireland", "Latvia", "Malta", "Portugal", "Cyprus"]
how deep is lake merritt oakland?	["Oakland"]	["3.048"]
what banjo does scott avett play?	["Banjo"]	["banjo", "Drum", "Electric guitar", "Guitar", "Piano", "harmonica"]
what is spoken in czech republic?	["Greek Language", "Ukrainian Language", "Croatian language", "Serbian language", "Hungarian language", "Bulgarian Language", "Czech Language", "German Language", "Romani language", "Slovak Language"]	["German Language", "Russian Language", "Ukrainian Language", "Bulgarian Language", "Greek Language", "Polish Language", "Serbian language", "Croatian language", "Czech Language", "Hungarian language", "Slovak Language", "Romani language", "Rusyn Language"]
where was osama bin laden killed?	["Abbottabad"]	["Abbottabad"]
when was father chris riley born?	["1967"]	["1954"]
where did mubarak get his wealth?	["Politician"]	["Al Minufiyah"]
what religion was king louis xiv?	["Catholicism"]	["Catholicism"]
who did denise van outen married?	["Lee Mead"]	["Lee Mead"]
who is the coach of the sf giants?	["Tim Flannery"]	["Bruce Bochy"]
what is the sacred text of daoism?	["Tao Te Ching"]	["I Ching", "Tao Te Ching", "Zhuangzi", "Daozang"]
who did william shakespeare marry?	["Anne Hathaway"]	["Anne Hathaway"]
what degrees did barack obama get?	["Juris Doctor", "Bachelor of Arts"]	["Juris Doctor", "Bachelor of Arts"]
